code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,registerType,sector,structure,subnationalCoverage,url
ML-NIF,"The Tax Identification Number (Numero d’Identification Fiscale) is issued to registered companies, and to branches of foreign organisations operating in Mali.

There is publicly available register of assigned Tax Identification Numbers. 
",,False,085101101W,"When individuals, organisations or branches of organisations are issued with a Tax Identification Number they will be given a pink form that provides their 'No Fiscal'. In general, these do not appear to be published, but may be requested from an organisation. ",fr,,,True,ML,data_not_available,,,,,False,,,,secondary,2017-06-05,Desk research,Tax Identification Number,Numero d’Identification Fiscale ,50,,,,,,,,,,,,,,50,,,"charity, company, government_agency, unincorporated_body",,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF
CZ-ICO,"The ARES is an information system which collates data from several public registers in the Czech Republic. These include:

Public registers comprising: the Commercial Register Federal Register, the Register of Foundations Register’s Institute, Register of Public Service Companies, Trade Register, and the Register of Economic Entities.

Enterprises do not register with the ARES. They must be register with the relevant registration authority. 

""The purpose of the ARES web sites of the Ministry of Finance is to provide a single-point access to all data concerning economic entities kept in particular registers or maintained in files of the state administration. ARES provides an easy access to the data transferred from the source registers to the ARES database. It allows also to switch directly to www applications of the state administration bodies provided that such applications already exist."" [1]

""It is not possible to make a registration in the Information System ARES directly. It is necessary to proceed in accordance with applicable laws and to make a registration at the registration points of the public administration authorities. Likewise, data changes or termination of the registration must be reported to the institution that maintains the source registry. List of source registers and responsible institutions is presented in the tab REGISTRATION AUTHORITIES."" [2]

 Information on companies is searchable in English and is free-of-charge.

[1] http://wwwinfo.mfcr.cz/ares/ares_es.html.en
[2] http://wwwinfo.mfcr.cz/ares/ares.html.en",,False,"28179609, 74750542, 01146131","Users can search for a company using this web page - http://wwwinfo.mfcr.cz/ares/ares_es.html.en

Identifiers will be under the Registration No. column on the left-hand side of the search results","en, cs","Data is available in two ways - through a simple, searchable database and also via an XML interface, which can be accessed through the GET or POST method - http://wwwinfo.mfcr.cz/ares/ares_es.html.en / http://wwwinfo.mfcr.cz/ares/ares_xml.html.en When using the easy to search interface, more details about the entity can be found by clicking on the link in References",http://wwwinfo.mfcr.cz/ares/ares_es.html.en,True,CZ,"xml, html",,"registered_address, registration_number, date_of_registration, organisation_name",Information is Copyright Ministry of Finance of the CR. No other license details provided. ,closed_license,,,,,secondary,2016-11-21,Desk research,Access to Registers of Economic Subjects , Entities (ARES),51,,,,,,,,1,0,,,,,50,,,"company, government_agency, charity",,http://wwwinfo.mfcr.cz/ares/ares_es.html.en
GB-LAS,"The Local Authority SCT Register has been developed with the Scottish Government and Government Digital Service (GDS), and contains identifiers for 32 local authorities.

It uses the second portion of [ISO_3166-2](https://en.wikipedia.org/wiki/ISO_3166-2:GB) codes and includes all codes listed for Scotland (SCT). ",,True,"ZET, WLN, ORK","Look for the value of the 'local-authority-sct' column. 
",en,,https://local-authority-sct.register.gov.uk/records,True,GB,"api, csv, json",'[Bulk download](https://local-authority-sct.register.gov.uk/download)' a copy of this register.     Each register has an '[open API](https://registers-docs.cloudapps.digital/)' you can use to access the data without any authentication. There's more information about using the register APIs in the technical documentation.,"date_of_registration, expiry_date, status",Open Government Licence v3.0,open_license,False,,,,secondary,2017-03-07,Desk research,Scottish Local Authority Register,,64,2,,1,,1,,,,,,10,,,50,secondary,,"government_agency/local_government, government_agency",GB-SCT,https://local-authority-sct.register.gov.uk/
CA_QC-QBC,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,,True,CA,,,,,no_license,,,,,primary,2016-12-14,Desk research,Quebec Business Registrar , Registraire des entreprises,80,,,,,,,,,,5,,,75,,,,company,CA-QC,http://www.registreentreprises.gouv.qc.ca/
RS-APR,"The Serbian Business Registrations Agency (APR) provides a single place of registration for all companies and individuals - domestic and foreign - operating in Serbia. Each entity is given an identification number and a tax number. The Матични број / identification number should be used for identifiers.

A database of these registries is available online.

""The SBRA runs business registers as single, centralized, public electronic databases:

The Business Register, in accordance with the Law on Business Entities Registration (operative as of 1/1/2005):

 *Register of Companies (in effect as of 1 January 2005)
* Register of Entrepreneurs (in effect as of 1 January 2006)
* Register of foreign parties (in effect as of 1 January 2006)"" [1]

""Serbian term or phrase:	matični broj / identification number
This is the identification number contained in the Company Register "" [2]

[1] http://www.apr.gov.rs/eng/AboutAgency/AllRegistersatOnePlace.aspx
[2] http://www.proz.com/kudoz/serbian_to_english/law_contracts/2614508-maticni_broj.html",,False,"06115403, 20203641, 29500258","Users can find identifiers by using the simple, searchable database. The database is provided in Serbian.

In the search results, identifiers will be under the column heading 'Матични број' or 'Identification Number' in English.

Companies of different types appear to have similar identification structure.",sr,"Data available through simple, searchable database. Search terms and results are in Serbian, so English speakers will need to use translation service",http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,True,RS,html,,"registered_address, organisation_name, akas, tax_id_number, organisation_type, status",,closed_license,,,,,primary,2016-12-07,Desk research,Serbian Business Registrations Agency , Агенција за српски пословни Пријаве,75,,,,,,,,,0,,,,75,,,,company,,http://www.apr.gov.rs/eng/Home.aspx
KE-RCO,"The Registrar of Companies is under the remit of the Registrar General, which is a part of the Office of the Attorney General and Department of Justice. This Registrar is responsible for the registration of companies within Kenya, and maintains a database, the records of which can be accessed on request for a fee.",,False,,None available,en,"A company name search can be conducted by either registering with the ebusiness.go.ke service, or asking the government to search the name at a cost of KES 100 per name",None available,True,KE,data_not_available,,,http://index.okfn.org/place/kenya/companies/,closed_license,,,,,primary,2016-11-25,Desk research,Registar of Companies,,75,,,,,,,,,0,,,,75,,,,company,,http://www.attorney-general.go.ke/
CA_BC-BRC_CBR,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,British Columbia Corporate Registry , Registre des sociétés,75,,,,,,,,,0,,,,75,,,,company,CA-BC,http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/index.page
UG-NGB,"All NGOs wishing to operate in Uganda must register with the NGO Board of the Ministry of Internal Affairs. 

""The National NGO Board under the Ministry of Internal Affairs, which is the lead Ministry, is legally mandated to register, regulate, coordinate and monitor NGOs in Uganda.""",,False,"80010001803086/BN-55471 , R1000000336259 , 80010003208981/101303A","Users can search for NGO identifiers on the Uganda Registration Services Bureau database.

Users should note that current research has not found this database to work when selecting 'NGO' on the 'Business type' drop-down menu. It is possible to search for NGO names and find results.

Users should be aware that identifiers are not formed in a uniform manner, and use slashes and hyphens.",en,,http://brs.ursb.go.ug/brs/pro/bnr/searchname#SearchNamePub,True,UG,"available:_stated_as_available,_but_unable_to_access",,"registration_number, organisation_name, date_of_registration, expiry_date, status",https://opencorporates.com/registers/267,closed_license,,,http://opencorporates.com/companies/ug,,secondary,2016-12-19,,"NGO Board, Ministry of Internal Affairs",,50,,,,,,,,,0,,,,,50,,,charity,,http://www.mia.go.ug/?page_id=62
GB-MPR,"The Mutuals Public Register is the public record of registered mutual societies:

* building societies
* credit unions
* friendly societies
* registered societies

It contains:

* details of societies’ registered offices and contact information
the services they offer
* public documents such as yearly returns and accounts",,False,"235C, IP031455",,,"It is possible to search the register online, but documents and bulk download of data are not freely available.",,True,GB,,,registered_address,Copyright information on the site places restrictions on re-use.,closed_license,,,http://opencorporates.com/companies/gb,,primary,,,Mutuals Public Register,,75,,,,,,,,,0,,,,75,,,,"company/mutual, company",,https://mutuals.fsa.gov.uk/
PH-SEC,"The Securities and Exchange Commission in the Philippines provides licenses so that corporations, partnerships or associations can transact business in the Philippines.

For domestic companies, this may come in the form of a 'Certificate of Incorporation'. For foreign firms or organisations, branches may obtain a 'License to transact business'. ",,False,"FS200813283, CS2010407120, AN094003039","Companies are issued with a Certificate or Incorporation, or a License to Transact Business. Sometimes these are published by those organisations, or otherwise the 'Company Reg No.' value contained on them can be requested from the organisation.",en,"A search of registered names exists, but does not provide access to identifiers.",http://www.sec.gov.ph/online-services/search-registered-companies/,True,PH,data_not_available,,,,no_license,False,,,https://en.wikipedia.org/wiki/Securities_and_Exchange_Commission_(Philippines),primary,2017-07-17,IATI - https://discuss.iatistandard.org/t/added-proposed-addition-to-the-organisation-registration-agency-codelist-philippines/888,Securities and Exchange Commission (Philippines),,80,,,,,,,,,,5,,,75,,,,company,,http://www.sec.gov.ph/
ZM-PCR,"The Patents and Companies Registration Agency (PACRA) is responsible for company registration in Zambia. 

""The Patents and Companies Registration Agency (PACRA) is a semi-autonomous executive agency of the Zambian Ministry of Commerce, Trade and Industry. Its principal functions are to operate a legal system for registration and protection of commercial and industrial property and to serve as a legal depository of the information tendered for registration.."" [1] 

[1] https://www.pacra.org.zm/#/html/About/",,False,,"It is stated on the government website that there is a database which can be search for company names, but this is currently unavailable and results in Error 404. It is possible this is because the PACRA website is undergoing maintenance.

""The System is under going maintenace. Please note that online services will not be available during this time. We regret the inconvinience caused."" [1]

[1] https://www.pacra.org.zm/#/",en,Currently unavailable due to website maintenance,http://www.onlinepacra.org.zm/pacranc/default.aspx?UR=http://www.pacra.org.zm/index.php?option=com_content&view=article&id=95&Itemid=136,True,ZM,"available:_stated_as_available,_but_unable_to_access",Currently unavailable due to website maintenance,,,no_license,,,,,primary,2016-12-21,Desk research,Patents and Companies Registration Agency,,80,,,,,,,,,,5,,,75,,,,company,,http://www.pacra.org.zm/
MZ-MOJ,"Local NGOs in Mozambique must register with the Ministry of Justice.

""Domestic NGOs are required to register with the Ministry of Justice."" [1]

[1] http://www.commonwealthofnations.org/sectors-mozambique/civil_society/national_ngos_civil_society/
",,False,,Ask organisations for their registration number as issued by the Ministry of Justice. ,,,,True,MZ,data_not_available,,,,no_license,False,,,,,2017-08-05,Desk research,Mozambique Ministry of Justice,,5,,,,,,,,,,5,,,,,,,charity,,None available
GB-PLA,"The Principal Local Authority Register has been developed with the Welsh Government and Government Digital Service (GDS), and contains identifiers for 22 county and county borough councils. The register may not cover all local authorities as it focuses on bodies providing mainstream local government services.

It uses the second portion of [ISO_3166-2](https://en.wikipedia.org/wiki/ISO_3166-2:GB) codes and includes all codes listed for Wales (WLS). ",,True,"AGY, TOF, NTL","Look for the value of the 'principal-local-authority' field.
","en, cy",,https://principal-local-authority.alpha.openregister.org/,True,GB,"api, csv, json, rdf","[Bulk download](https://principal-local-authority.alpha.openregister.org/download) a copy of this register.     

Each register has an [open API](https://registers-docs.cloudapps.digital/) you can use to access the data without any authentication. There's more information about using the register APIs in the technical documentation.","date_of_registration, expiry_date, status",Open Government Licence v3.0,open_license,False,,,,secondary,2017-06-25,,Principal Local Authority Register for Wales,,65,2,,1,,1,,1,,,,10,,,50,,,"government_agency/local_government, government_agency",GB-WLS,https://principal-local-authority.alpha.openregister.org/records
CA_YT-YKT,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Yukon Corporate Affairs ," Direction des entreprises, associations et coopératives",75,,,,,,,,,0,,,,75,,,,company,CA-YT,http://www.community.gov.yk.ca/corp/index.html
XM-DAC,"The Organisation for Economic Co-operation and Development (OECD) Development Assistance Committee (DAC) has created a list of organisations whom are involved in the transfer of financial flows within the work of the OECD DAC. A list of all the Donors, Agencies and Recipients can be downloaded from the OECD website. This list is updated every three years.

See Donor, Agency and Delivery Channel codes.

""The overarching objective of the DAC for 2011-2015  is to promote development co-operation and other policies so as to contribute to sustainable development, including pro-poor economic growth, poverty reduction, improvement of living standards in developing countries, and to a future in which no country will depend on aid."" [1]

""The DAC revises the list every three years. Countries that have exceeded the high-income threshold for three consecutive years at the time of the review are removed."" [2] 

[1] http://www.oecd.org/dac/thedevelopmentassistancecommitteesmandate.htm
[2] http://www.oecd.org/dac/stats/daclist.htm",,False,"7, 104, 914, 1312","Users can download an Excel file of the DAC and CRS codes from the OECD website. Organisation identifiers can be found in the tabs 'See Donor', 'Agency' and 'Delivery Channel' codes. Identifiers will be under 'Donor code' and 'Channel ID' respectively.

Users should not that the data is available in a Excel file that contains much formatting.","en, fr",,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,True,,excel,Data is available in Excel file that contains much formatting.,,,no_license,False,,,,,2016-12-27,Desk research,OECD Development Assistance Committee,,6,,,,1,,,,,,5,,,,,,,"company, government_agency, charity",,http://www.oecd.org/dac/stats/dacandcrscodelists.htm
NG-BPP,"The Nigerian Bureau of Public Procurement are responsible for monitoring and oversight of public procurement in Nigeria. 

The Contractor and Service Provider Database System is a government vendor registration database system that assigns a unique contractor identification number, categories, and classification of firms who have applied for, or been involved in, government contracts. 


",,True,"BPP_5125283435, BPP_1383871299, ","Search based on contractor name. The full identifier, including 'BPP_' should be used.",en,An online search of registered contractors is available.,http://federalcontractors.bpp.gov.ng/SearchforRegisteredContractors.aspx,True,NG,,,"website, e-mail_address, industry_classifications, status",,no_license,False,,,,secondary,2017-06-28,Open Contracting,Bureau of Public Procurement (BPP) Contractor Registration System (Nigeria),,55,,,,,,,,,,5,,,,50,,,company,,http://federalcontractors.bpp.gov.ng/
US-DOS,This code was present in the IATI Organization Registration Agency codelist. It should no longer be used. ,,False,,,,,,True,US,,,,,,True,,,,,,,Corporation registration is the responsibility of each state (see link),,0,,,,,,,,,,,,,,,,,,,http://www.companieshouse.gov.uk/links/usaLink.shtml
ID-PRO,"Registration for NGO in Indonesia can be done at the provincial level. Because there is regional autonomy, each provincial has different requirements.

This list was in the original IATI list, but current research has not been able to identify any publicly accessible registries nor lists of unique identifiers. A search of the IATI database finds no instances of use of ID-PRO as part of an identifier. For these reasons the list has been deprecated.",,False,,None available,,,None available,True,ID,data_not_available,,,,closed_license,True,,,,deprecated,2016-12-19,Desk researching,Indonesia - NGOs registered at Provinicial Level,,0,,,,,,,,,0,,,,,,,,charity,,http://www.satulayanan.net/layanan/pendaftaran-lsm-atau-ormas/perizinan-lsm-atau-ormas-baru
GB-GOV,IATI Version 2.x codes for use by IATI for UK Government Departments.,,False,"GB-GOV-1, GB-GOV-4","Users can download an ODS file at this webpage - https://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies

The identifiers for use are under the column headers 'IATI 2.x'.",en,Available as ODS file,https://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,True,GB,"csv, ods",,"organisation_name, registration_number",,open_license,,,,,secondary,2016-11-23,Desk research,UK Government Departments Reference Numbers,,61,,,1,,,,,,,,10,,,50,,,government_agency,,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies
PL-NIP,"The Tax Identification Number (NIP) is used for tax purposes and can be assigned to any organization: companies including sole proprietorships, non-profits, government agencies.

NIP is assigned to organizations in process of their registration.

Till 2011 NIP number was also assigned to natural people (tax payers).",,True,1231216692,"To validate a known identifier:

1. Type in organization's NIP in the NIP field
2. Start by clicking ""Szukaj""
3. Click on the first column (REGON number) to get details and the NIP code. 

To search for the identifier or an organisation by their address, select 'Address' and use the drill-down menus to narrow down the search. You must select options down to the lowest geographic level. 

NIP number consists of 10 digits, the last one is a check digit. For convenience the digits may be separated by non-significant hyphens (xxx-xxx-xx-xx or xxx-xx-xx-xxx for legal persons).
",PL,"A search service is available which allows validation of known identifiers, or search for identifiers by the registered address of the organisation. ",https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx,True,PL,api,"There is no dedicated NIP registry website online, but NIP registry is searchable via REGON registry on https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx. 

There is an API available also: http://bip.stat.gov.pl/dzialalnosc-statystyki-publicznej/rejestr-regon/interfejsyapi/informacje-ogolne/","registered_address, industry_classifications, date_of_registration, registration_number, phone_number, tax_id_number, status",Non-profits and companies has been reusing this data for several years now as if it was under an open license. ,no_license,False,,,https://pl.wikipedia.org/wiki/NIP,secondary,2017-07-08,Research done by ePanstwo Foundation epf.org.pl/en,Tax Identification Number (Poland),Numer Identyfikacji Podatkowej,57,2,,,,,,,,,5,,,,50,,,"charity, company, government_agency",,https://pl.wikipedia.org/wiki/NIP
MW-CNM,"The Council for NGOs in Malawi provides a range of support services and advocacy initiatives to NGOs working in Malawi. They do not appear to have the responsibility of registering organisations or maintaining a database with information.

""Objectives:

1. To represent the collective interests of NGOs in Malawi.
2. To enhance and improve the operational environment within which NGOs function.
3. To promote and facilitate networking, coordination and collaboration within the NGO community, and between the NGOs and government, donor community and private sector.
4. To further the standing of NGOs as competent, professional and suitable agents of development.
5. To support member NGOs to build and strengthen their institutional capacity.
6. To support NGOs carry out their functions under the NGO Act 2000."" [1]

[1] http://www.congoma.mw/about-us/objectives/",,False,,"Results from OIPA request suggest the identifier has been used incorrectly e.g, BCM-CF-UKAID-IMP-131, MW-CNM-21-secondyearprojectreport, MW-CNM-21-WomenEmpowermentviaFarmersClubProject

",en,,,True,MW,data_not_available,,,,no_license,True,,,,deprecated,2016-11-26,,The Council for Non Governmental Organisations in Malawi,,5,,,,,,,,,,5,,,,,,,charity,,http://www.congoma.mw
ZA-CIP,"The Companies and Intellectual Property Commission (CIPC) is responsible for company registration in South Africa. There is a basic free database search, or users can subscribe to the CIPC website.

""Functions of the Commission

Registration of Companies, Co-operatives and Intellectual Property Rights (trade marks, patents, designs and copyright) and maintenance thereof
Disclosure of Information on its business registers"" [1] 

[1] http://www.cipc.co.za/index.php/about/our-functions/",,False,"6713-713839-07, 2007-031592-07 , 1994-010680-07","Users can search for identifiers using the Cipro name. Identifiers will be under the Column header 'Enterprise number'.

Users should note that this is a very basic search function, and current research finds that only Search Option 1 works, thus users must have the exact name of the corporate entity to find an identifier number. The resulting data is very basic.

Users can also search the OpenCorporates database.",en,,"http://www.cipro.co.za/products_services/name_search.asp, https://eservices.cipc.co.za/ , https://opencorporates.com/companies/za?page=1",True,ZA,html,"Data available is very basic, and searches can only be completed when the exact name of the corporate entity is known","organisation_name, registration_number",https://opencorporates.com/registers/237,closed_license,,,http://opencorporates.com/companies/za,,primary,2016-12-21,Desk research,Companies and Intellectual Property Commission (CIPC),,75,,,,,,,,,0,,,,75,,,,company,,http://www.cipro.gov.za/
CO-RUE,"The Unified Commercial and Social Registry (RUES) integrates multiple commercial registries, including the NIT (Número de Identificación Tributaria) which can be used as the unique identifier. 

This database can be searched online for free.

""The CCB hereby informs that, in accordance with Resolution 71029 issued by the Superintendence of Industry and Commerce, starting as of November 13, 2013, entrepreneurs must fill out the new Unified Commercial and Social Registry (RUES), a form that integrates the information from the following forms and records:

* Merchant's Certificate.
* Unified Offeror Registry.
* Non-For-Profit Organizations Registry.
* Common Regime (Associations, Foundations and Corporations) and * Solidary Economy Institutions (Cooperatives, Precooperatives, Employee Funds and Mutual Associations).
* Activity, games and gambling Registry.
* Citizen Oversight Associations Registry (applicable only when registering or signing-up).
* Solidarity Economy Registry."" [1]

[1] http://www.ccb.org.co/en/Registrations-and-renewals/Merchant-s-certificate/Unified-Commercial-and-Social-Registry-RUES",,False,"830093516, 900563742","Users can find identifiers by searching the simple database. The identifier will be under the column header 'Número Identificación'. The database is available in Spanish.

Users should note that some identifiers are provided with a checksum (e.g. 900876653-3).  Details on how this number is formed can be found in Spanish on Wikipedia - https://es.wikipedia.org/wiki/N%C3%BAmero_de_Identificaci%C3%B3n_Tributaria

You should provide the identifier without the checksum. ",es,It is possible to search the register online,http://www.rues.org.co/RUES_Web/,True,CO,,,"industry_classifications, date_of_registration, number_of_employees, legal_representatives",No license is given,no_license,,,,,secondary,2016-12-19,Desk research,Unified Commercial and Social Registry (RUES) , Registro Único Empresarial y Social,55,,,,,,,,,,5,,,,50,,,"company, charity",,http://www.rues.org.co/RUES_Web/
CA_NL-NFL_TNL,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,"Registry of Companies, Department of Government Services",,75,,,,,,,,,0,,,,75,,,,company,CA-NL,http://www.servicenl.gov.nl.ca/registries/companies.html
IM-CR,The Isle of Man Companies Registry provides registration for domestic and foreign companies registered or operating on the Isle of Man. ,,False,"005095V, 014872C, 087750C, 023628B",,,,,True,IM,data_not_available,"Data is accessible via OpenCorporates, but not from the registry itself as bulk data. ","registered_address, status","OGL All content is available under the Open Government Licence, except where otherwise stated",open_license,False,,https://opencorporates.com/companies/im,,primary,2017-08-05,IATI / Open Corporates,Isle of Man Companies Registry,,85,,,,,,,,,,,10,,75,,,,company,,https://www.gov.im/categories/business-and-industries/companies-registry
CA_MB-MTB,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,"Manitoba Companies Office, Department of Entrepreneurship, Training and Trade "," Bureau des entreprises du Manitoba, ministère de l'Entrepreneuriat, de la Formation et du Commerce",75,,,,,,,,,0,,,,75,,,,company,CA-MB,https://direct.gov.mb.ca/mbohtml/html/internet/en/mb_online.html
CA_NU-NNV,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Nunavut Department of Justice - Corporate Registries,,75,,,,,,,,,0,,,,75,,,,company,CA-NU,http://nunavutlegalregistries.ca/cr_index_en.shtml
XI-IATI,"XI-IATI is a list of organisation identifiers that is maintained by the IATI Secretariat. Any publisher may apply to the IATI Technical Team for an identifier to be generated.

""If a bona fide organisation is not registered with any recognised or appropriate registration agency (http://iatistandard.org/202/codelists/OrganisationRegistrationAgency/) they should contact the IATI Technical Team who will exceptionally allocate an organisation identifier using the XI-IATI prefix.

While some of these identifiers have been derived from DAC codes, this ‘meaning’ is not carried forward. i.e. IATI generated identifiers have no intrinsic meaning.

For general guidance about constructing Organisation Identifiers, please see http://iatistandard.org/organisation-identifiers/"" [1]

[1] http://iatistandard.org/202/codelists/IATIOrganisationIdentifier/",,False,"XI-IATI-IADB, XI-IATI-WAI, XI-IATI-1001","Users can find the codelist in three formats - CSV, JSON and XML - from the IATI Organisation Identifier website. The codelist is also available in the three different versions of the IATI Standard.

Once users have downloaded the file, the identifiers will be under the column header/tag ""code""",en,,http://iatistandard.org/202/codelists/IATIOrganisationIdentifier/,True,,"csv, html, json, xml",,"registration_number, organisation_name, objectives/purpose, organisation_type, website",http://iatistandard.org/202/license/,open_license,,,,,third-party,2016-12-27,Desk research,International Aid Transparency Initiative Organisation Identifier,,13,,,1,,1,,,1,,,10,,,,,,"company, government_agency, charity",,http://iatistandard.org/codelists/IATIOrganisationIdentifier/
JE-FSC,"Companies and Non Profit Organisations operating in Jersey register with the Financial Services Commission (JFSC). A search of company information is freely available on the Commission website. There was no search available for NPOs at the time of last checks.

Users should be aware that the identifier numbers are not unique, as there are multiple types of companies and identifiers can be repeated. For example, there are two companies with the number '1381' - an LP (limited partnership) and an RC (Registered Private Company)

It is recommended that those creating identifiers for JSFC use the business codes as part of the identifier. For example, the limited partnership company described above should have the identifier:

JE-FSC-LP_1381


""The Non-Profit Organizations (Jersey) Law 2008 (the “NPO Law”) was registered by the Royal Court on 25 July 2008 and came into effect on 8 August 2008.  This legislation requires NPOs to register with the Commission in certain circumstances.  The definition of an NPO, as provided by Article 1 of the NPO Law, is given below:

“An organization is a non-profit organization for the purposes of this Law if – 
(a) it is established solely or primarily for charitable, religious, cultural, educational, social,
    or fraternal purposes with the intention of benefiting the public or a section of the public; and
(b) it raises or disburses funds in pursuance of those purposes.” "" [1]

[1] http://www.jerseyfsc.org/anti-money_laundering/forms/NPO/index.asp",,False,"RC_119821, RC_87846, RBN_94687","Users can find company identifiers by using the simple, searchable online database. Identifiers will be under the column heading 'Number'. Users can find more information by clicking on one of the search results.

Users should be aware that the identifier numbers are not unique, as there are multiple types of companies and identifiers can be repeated. For example, there are two companies with the number '1381' - an LP (limited partnership) and an RC (Registered Private Company)

It is recommended that those creating identifiers for JSFC use the business codes as part of the identifier. For example, the limited partnership company described above should have the identifier:

JE-FSC-LP_1381

Open Corporates adopt a slightly different approach, using the URL of the company register entry to generate an identifier. See https://wiki.opencorporates.com/qa/qa_public/migrating_company_numbers/jersey ",en,"Data is available for search for free, and records are available for download for a fee",https://www.jerseyfsc.org/registry/documentsearch/,True,JE,,,"registered_address, registration_number, date_of_registration, status","http://index.okfn.org/place/jersey/companies/ , https://opencorporates.com/registers/295",closed_license,False,JE-CR,http://opencorporates.com/companies/je,,primary,2017-08-05,,Jersey Financial Services Commission (JFSC),,75,,,,,,,,,0,,,,75,,,,"company, charity",,http://www.jerseyfsc.org/index.asp
SK-ORSR,"""The companies register is administered by the Ministry of Justice. Entry to the register is obligatory for companies, cooperatives and for some specific physical entities stated by law. Information in the register is searchable by trade name, identification number, registered office, registration number and name of a person."" [1]

""The Obchodný register (commercial register) is a public list containing statutory data concerning entrepreneurs, companies and other legal entities, where this is laid down by separate legislation.
The list is administered by the Ministry of Justice of the Slovak Republic."" [2]

[1] http://www.company-registers.info/en/european-union/slovakia.html
[2] https://e-justice.europa.eu/content_business_registers_in_member_states-106-sk-en.do?member=1",,False,"35919043, 47364319, 36781673","Users can find identifiers using the simple, searchable online database. Users will have to click on the link for 'Aktuálny' or 'Úplný' under the column heading Výpis - or in English,  for 'Actual' or 'Full' under the column heading 'Extract' - of one of the companies in the search results in order to see company details.

Identifiers will be next to the heading 'IČO' or 'Identification' in English","en, sk",,http://www.orsr.sk/search_subjekt.asp?lan=en,True,SK,html,,"registered_address, date_of_registration, registration_number, directors_trustees_governors, accounts, organisation_type, objectives/purpose",https://opencorporates.com/registers/234,closed_license,,,http://opencorporates.com/companies/sk,,primary,2016-12-07,Desk research,Ministry of Justice Business Register,,75,,,,,,,,,0,,,,75,,,,company,,http://www.orsr.sk/search_subjekt.asp?lan=en
ZW-ROD,"Companies in Zimbabwe must register with the Registrar of Deeds. 

Currently, all Zimbabwe government websites appear not to be working.

""Reserve the company name with the Chief Registrar of Companies

Agency: Chief Registrar of Companies

Forms are available online but all documents must be physically lodged at Companies and Deeds Registry. The reservation is valid for 30 days and can be extended for another 30 days for an additional fee."" [1] 

[1] http://www.doingbusiness.org/data/exploreeconomies/zimbabwe#starting-a-business",,False,,All Zimbabwe government websites are unavailable at time of research.,,All Zimbabwe government websites are unavailable at time of research.,,True,ZW,,,,,,,,,,primary,2016-12-21,Desk research,Registrar of Deeds,,75,,,,,,,,,,,,,75,,,,company,,http://www.dcip.gov.zw/
